batter,runs,balls,strike_rate
 RR Bhatkal             ,0,2,0.0
 RR Pant                ,3297,2296,143.59756097560975
 RR Powar               ,67,64,104.6875
 RR Raje                ,20,18,111.11111111111111
 RR Rossouw             ,473,321,147.35202492211837
 RR Sarwan              ,73,78,93.58974358974359
 RS Bopara              ,531,468,113.46153846153845
 RS Gavaskar            ,2,8,25.0
 RS Sodhi               ,4,2,200.0
 RT Ponting             ,91,129,70.54263565891473
 RV Gomez               ,50,53,94.33962264150944
 RV Patel               ,80,76,105.26315789473684
 RV Uthappa             ,4954,3927,126.15227909345556
 Rahmanullah Gurbaz     ,289,228,126.75438596491229
 Ramandeep Singh        ,170,106,160.37735849056605
 Rashid Khan            ,545,355,153.52112676056336
 Rasikh Salam           ,40,40,100.0
 Ravi Bishnoi           ,32,52,61.53846153846154
 S Anirudha             ,136,121,112.39669421487604
 S Aravind              ,59,59,100.0
 S Badree               ,13,25,52.0
 S Badrinath            ,1441,1245,115.74297188755021
 S Chanderpaul          ,25,33,75.75757575757575
 S Dhawan               ,6769,5483,123.45431333211745
 S Dube                 ,1502,1077,139.46146703806872
 S Gopal                ,180,173,104.04624277456647
 S Kaul                 ,20,36,55.55555555555556
 S Kaushik              ,0,1,0.0
 S Ladda                ,0,10,0.0
 S Lamichhane           ,0,1,0.0
 S Nadeem               ,39,88,44.31818181818182
 S Narwal               ,37,29,127.58620689655173
 S Rana                 ,91,82,110.97560975609757
 S Randiv               ,2,4,50.0
 S Sohal                ,368,311,118.32797427652733
 S Sreesanth            ,34,57,59.64912280701754
 S Sriram               ,31,38,81.57894736842105
 S Tyagi                ,3,4,75.0
 S Vidyut               ,145,115,126.08695652173914
 SA Abbott              ,22,18,122.22222222222223
 SA Asnodkar            ,423,352,120.17045454545455
 SA Yadav               ,3594,2522,142.50594766058683
 SB Bangar              ,49,58,84.48275862068965
 SB Dubey               ,33,21,157.14285714285714
 SB Jakati              ,28,30,93.33333333333333
 SB Joshi               ,6,16,37.5
 SB Styris              ,131,134,97.76119402985076
 SB Wagh                ,2,3,66.66666666666666
 SC Ganguly             ,1349,1326,101.73453996983409
 SD Chitnis             ,99,92,107.6086956521739
 SD Hope                ,183,125,146.4
 SD Lad                 ,15,13,115.38461538461537
 SE Bond                ,1,2,50.0
 SE Marsh               ,2489,1913,130.10977522216413
 SE Rutherford          ,106,107,99.06542056074767
 SH Johnson             ,6,7,85.71428571428571
 SJ Srivastava          ,5,5,100.0
 SK Raina               ,5536,4177,132.53531242518554
 SK Trivedi             ,42,61,68.85245901639344
 SK Warne               ,198,219,90.41095890410958
 SL Malinga             ,88,103,85.43689320388349
 SM Curran              ,883,673,131.2035661218425
 SM Harwood             ,9,14,64.28571428571429
 SM Katich              ,241,191,126.17801047120419
 SM Pollock             ,147,116,126.72413793103448
 SMSM Senanayake        ,10,17,58.82352941176471
 SN Khan                ,585,456,128.28947368421052
 SN Thakur              ,307,228,134.64912280701756
 SO Hetmyer             ,1243,854,145.5503512880562
 SP Fleming             ,196,171,114.61988304093566
 SP Goswami             ,293,307,95.43973941368078
 SP Jackson             ,61,57,107.01754385964912
 SP Narine              ,1534,984,155.8943089430894
 SPD Smith              ,2495,1999,124.81240620310155
 SR Tendulkar           ,2334,2044,114.18786692759295
 SR Watson              ,3880,2892,134.1632088520055
 SS Cottrell            ,0,2,0.0
 SS Iyer                ,3131,2545,123.02554027504911
 SS Prabhudessai        ,126,113,111.50442477876106
 SS Shaikh              ,6,7,85.71428571428571
 SS Tiwary              ,1494,1291,115.72424477149497
 ST Jayasuriya          ,768,573,134.03141361256544
 STR Binny              ,880,700,125.71428571428571
 SV Samson              ,4419,3270,135.1376146788991
 SW Billings            ,503,399,126.06516290726817
 SW Tait                ,23,26,88.46153846153845
 SZ Mulani              ,1,1,100.0
 Sachin Baby            ,144,123,117.07317073170731
 Salman Butt            ,193,172,112.20930232558139
 Sameer Rizvi           ,51,43,118.6046511627907
 Sandeep Sharma         ,54,73,73.97260273972603
 Sanvir Singh           ,25,22,113.63636363636364
 Saurav Chauhan         ,18,16,112.5
 Shahbaz Ahmed          ,536,467,114.77516059957173
 Shahid Afridi          ,81,46,176.08695652173913
 Shakib Al Hasan        ,795,665,119.54887218045114
 Shashank Singh         ,423,272,155.51470588235296
 Shivam Mavi            ,51,58,87.93103448275862
 Shivam Sharma          ,5,3,166.66666666666669
 Shivam Singh           ,2,3,66.66666666666666
 Shoaib Ahmed           ,1,6,16.666666666666664
 Shoaib Akhtar          ,2,8,25.0
 Shoaib Malik           ,52,49,106.12244897959184
 Shubman Gill           ,3216,2432,132.23684210526315
 Sikandar Raza          ,182,143,127.27272727272727
 Simarjeet Singh        ,7,8,87.5
 Sohail Tanvir          ,36,31,116.12903225806453
 Sumit Kumar            ,18,26,69.23076923076923
 Sunny Gupta            ,0,1,0.0
 Sunny Singh            ,43,31,138.70967741935485
 Swapnil Singh          ,51,46,110.86956521739131
 T Banton               ,18,22,81.81818181818183
 T Henderson            ,11,16,68.75
 T Kohler-Cadmore       ,48,54,88.88888888888889
 T Kohli                ,11,20,55.00000000000001
 T Natarajan            ,3,5,60.0
 T Shamsi               ,2,4,50.0
 T Stubbs               ,405,239,169.4560669456067
 T Taibu                ,31,26,119.23076923076923
 T Thushara             ,12,19,63.1578947368421
 TA Boult               ,83,82,101.21951219512195
 TD Paine               ,10,29,34.48275862068966
 TG Southee             ,120,108,111.11111111111111
 TH David               ,659,417,158.0335731414868
